"url","News Date","News Title","News Title_link","News Summary"
"https://search.sindonews.com/search/36?type=artikel&q=pupr","Selasa, 23 Oktober 2018 - 20:57 WIB","Menteri PUPR Beberkan Isu Krusial di RUU Pertanahan","https://nasional.sindonews.com/read/1348632/12/menteri-pupr-beberkan-isu-krusial-di-ruu-pertanahan-1540302947","Penyelesaian Rancangan Undang-Undang (RUU) Pertanahan masih menemui kendala. Setidaknya ada 10 poin krusial yang masih mengganjal penyelesaian RUU Pertanahan."
"https://search.sindonews.com/search/48?type=artikel&q=pupr","Senin, 22 Oktober 2018 - 16:01 WIB","Ini Bedanya Iuran Tapera dan BPJS Ketenagakerjaan","https://ekbis.sindonews.com/read/1348224/34/ini-bedanya-iuran-tapera-dan-bpjs-ketenagakerjaan-1540197692","Kementerian PUPR menyatakan, iuran Badan Pengelola Tabungan Perumahan Rakyat dengan BPJS Ketenagakerjaan berbeda sehingga tidak saling bertabrakan."
"https://search.sindonews.com/search/48?type=artikel&q=pupr","Senin, 22 Oktober 2018 - 15:50 WIB","BPK Bantah Ada Kebocoran Pembangunan Infrastruktur Senilai Rp45,6 T","https://ekbis.sindonews.com/read/1348231/34/bpk-bantah-ada-kebocoran-pembangunan-infrastruktur-senilai-rp45-6-t-1540198197","Anggota IV BPK Rizal Djalil mengatakan, berdasarkan hasil pemeriksaan BPK, Kementerian PUPR telah merealisasikan belanja infrastruktur sejak 2015 hingga 2017 seluruhnya sebesar Rp289,93 triliun."
"https://search.sindonews.com/search/48?type=artikel&q=pupr","Senin, 22 Oktober 2018 - 15:46 WIB","Kementerian PUPR Jawab Keberatan Apindo Atas Tapera","https://ekbis.sindonews.com/read/1348219/34/kementerian-pupr-jawab-keberatan-apindo-atas-tapera-1540196960","Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) menyatakan, BP Tapera dibutuhkan untuk kepentingan pembiayaan rumah dalam jangka panjang."
"https://search.sindonews.com/search/48?type=artikel&q=pupr","Senin, 22 Oktober 2018 - 14:00 WIB","Kementerian PUPR Targetkan BP Tapera Beroperasi Tahun Depan","https://ekbis.sindonews.com/read/1348186/179/kementerian-pupr-targetkan-bp-tapera-beroperasi-tahun-depan-1540191623","Kementerian PUPR sedang membentuk Dewan Komisioner Badan Pengelola Tabungan Perumahan Rakyat yang terdiri dari lima komite: Menteri PUPR, Menkeu, Menaker, OJK dan profesional."
"https://search.sindonews.com/search/48?type=artikel&q=pupr","Senin, 15 Oktober 2018 - 17:49 WIB","Kantor Anak Buahnya Disegel KPK, Bupati Bekasi Bingung","https://nasional.sindonews.com/read/1346364/13/kantor-anak-buahnya-disegel-kpk-bupati-bekasi-bingung-1539600587","Komisi Pemberantasan Korupsi menyegel sejumlah ruangan di Kantor Dinas Pekerjaan Umum dan Penataan Ruang (PUPR) Kabupaten Bekasi, Jawa Barat."
"https://search.sindonews.com/search/48?type=artikel&q=pupr","Senin, 15 Oktober 2018 - 17:01 WIB","Pembangunan Tol Jakarta-Cikampek 2 Elevated Sudah 49%","https://ekbis.sindonews.com/read/1346337/34/pembangunan-tol-jakarta-cikampek-2-elevated-sudah-49-1539596154","Kementerian PUPR menyebut pembangunan jalan tol Jakarta-Cikampek 2 Elevated yang bertujuan mengurai kemacetan di ruas tol tersebut saat ini telah mencapai 49,4%."
"https://search.sindonews.com/search/48?type=artikel&q=pupr","Senin, 15 Oktober 2018 - 15:28 WIB","Oktober-Desember 2018, Sebanyak 13 Ruas Tol Baru Siap Beroperasi","https://ekbis.sindonews.com/read/1346307/34/oktober-desember-2018-sebanyak-13-ruas-tol-baru-siap-beroperasi-1539592101","Dari Oktober hingga Desember 2018, Kementerian PUPR menargetkan sebanyak 13 ruas jalan tol baru dengan total panjang 473,9 km akan siap untuk dioperasikan."
"https://search.sindonews.com/search/48?type=artikel&q=pupr","Senin, 15 Oktober 2018 - 00:02 WIB","Dinas PUPR Kebut Pembangunan Infrastruktur di Kota Depok","https://metro.sindonews.com/read/1346145/171/dinas-pupr-kebut-pembangunan-infrastruktur-di-kota-depok-1539529127","Jelang akhir tahun, Pemerintah Kota Depok melalui Dinas Pekerjaan Umum dan Penataan Ruang (PUPR) terus menggenjot pelaksanaan pembangunan infrastruktur."
"https://search.sindonews.com/search/48?type=artikel&q=pupr","Kamis, 11 Oktober 2018 - 20:28 WIB","Proyek Irigasi di Pabuaran Sukamakmur Diputus Kontrak","https://daerah.sindonews.com/read/1345488/21/proyek-irigasi-di-pabuaran-sukamakmur-diputus-kontrak-1539264472","Dinas Pekerjaan Umum dan Perumahan Rakyat (PUPR) Kabupaten Bogor akhirnya memutus kontrak pembangunan proyek irigasi di Kampung Sukawayahna RT04/05 Desa Pabuaran, Kecamatan Sukamakmur, Kabupaten Bogor."
"https://search.sindonews.com/search/48?type=artikel&q=pupr","Selasa, 09 Oktober 2018 - 08:46 WIB","BNPB Akan Buatkan Hunian Sementara Bagi Korban Bencana di Sulteng","https://nasional.sindonews.com/read/1344667/15/bnpb-akan-buatkan-hunian-sementara-bagi-korban-bencana-di-sulteng-1539049035","Kepala BNPB Willem Rampangilei menyebut pihaknya bersama PUPR, BMKG, BPPT, LIPI dan dinas terkait akan buatkan Huntara bagi korban bencana di Sulteng."
