,comment,like,owner,shortcode,timestamp,account,date,time
128,8,310,8727010621,B00j1USAI5b,2019-08-06 11:42:22,https://www.instagram.com/p/B00j1USAI5b/,2019-08-06,11:42:22
129,0,24,281206995,B00jtIAn_nw,2019-08-06 11:41:15,https://www.instagram.com/p/B00jtIAn_nw/,2019-08-06,11:41:15
130,0,31,10890934310,B00jqUGnXVJ,2019-08-06 11:40:52,https://www.instagram.com/p/B00jqUGnXVJ/,2019-08-06,11:40:52
131,0,20,2960933233,B00jqB-gmZU,2019-08-06 11:40:49,https://www.instagram.com/p/B00jqB-gmZU/,2019-08-06,11:40:49
132,0,8,5733984090,B00jeYUHlqq,2019-08-06 11:39:14,https://www.instagram.com/p/B00jeYUHlqq/,2019-08-06,11:39:14
133,1,17,3251659939,B00jeKmJRLs,2019-08-06 11:39:12,https://www.instagram.com/p/B00jeKmJRLs/,2019-08-06,11:39:12
134,0,7,5733984090,B00jcetnO8M,2019-08-06 11:38:58,https://www.instagram.com/p/B00jcetnO8M/,2019-08-06,11:38:58
135,3,36,397239588,B00jcKEAblp,2019-08-06 11:38:56,https://www.instagram.com/p/B00jcKEAblp/,2019-08-06,11:38:56
136,0,27,925454416,B00jOfyAs3I,2019-08-06 11:37:04,https://www.instagram.com/p/B00jOfyAs3I/,2019-08-06,11:37:04
137,0,35,1441042286,B00jB-BB_OB,2019-08-06 11:35:21,https://www.instagram.com/p/B00jB-BB_OB/,2019-08-06,11:35:21
138,0,22,9313742611,B00iR0RBtD1,2019-08-06 11:28:47,https://www.instagram.com/p/B00iR0RBtD1/,2019-08-06,11:28:47
139,3,33,1619926212,B00iKv2Agc5,2019-08-06 11:27:49,https://www.instagram.com/p/B00iKv2Agc5/,2019-08-06,11:27:49
140,1,29,876220481,B00h3jUnB4X,2019-08-06 11:25:11,https://www.instagram.com/p/B00h3jUnB4X/,2019-08-06,11:25:11
141,0,66,1702379581,B00h18Ol66R,2019-08-06 11:24:58,https://www.instagram.com/p/B00h18Ol66R/,2019-08-06,11:24:58
142,1,22,2320418695,B00hnGPn1ML,2019-08-06 11:22:57,https://www.instagram.com/p/B00hnGPn1ML/,2019-08-06,11:22:57
143,2,38,1623776333,B00hTmNgul8,2019-08-06 11:20:17,https://www.instagram.com/p/B00hTmNgul8/,2019-08-06,11:20:17
144,0,24,931328890,B00hGF6lyY3,2019-08-06 11:18:26,https://www.instagram.com/p/B00hGF6lyY3/,2019-08-06,11:18:26
145,0,40,54051879,B00g7Y1AO7t,2019-08-06 11:16:59,https://www.instagram.com/p/B00g7Y1AO7t/,2019-08-06,11:16:59
146,12,93,1549882936,B00g5ihAZwB,2019-08-06 11:16:43,https://www.instagram.com/p/B00g5ihAZwB/,2019-08-06,11:16:43
147,5,31,1736280826,B00gzd2H64j,2019-08-06 11:15:54,https://www.instagram.com/p/B00gzd2H64j/,2019-08-06,11:15:54
148,1,30,1501998988,B00gbfggK_C,2019-08-06 11:12:37,https://www.instagram.com/p/B00gbfggK_C/,2019-08-06,11:12:37
149,0,94,529390754,B00gPienp3g,2019-08-06 11:10:59,https://www.instagram.com/p/B00gPienp3g/,2019-08-06,11:10:59
150,1,53,5743281404,B00gEW8jxUF,2019-08-06 11:09:28,https://www.instagram.com/p/B00gEW8jxUF/,2019-08-06,11:09:28
151,0,42,372950494,B00fe7_AVJg,2019-08-06 11:04:21,https://www.instagram.com/p/B00fe7_AVJg/,2019-08-06,11:04:21
152,0,30,588651389,B00fMDeA0fT,2019-08-06 11:01:47,https://www.instagram.com/p/B00fMDeA0fT/,2019-08-06,11:01:47
153,1,22,3069520824,B00fH-Lha5L,2019-08-06 11:01:13,https://www.instagram.com/p/B00fH-Lha5L/,2019-08-06,11:01:13
154,0,23,1318531800,B00fAx4B86P,2019-08-06 11:00:14,https://www.instagram.com/p/B00fAx4B86P/,2019-08-06,11:00:14
155,4,47,53237926,B00e3l1jyiE,2019-08-06 10:58:59,https://www.instagram.com/p/B00e3l1jyiE/,2019-08-06,10:58:59
156,2,55,2908447677,B00e0lUBoDe,2019-08-06 10:58:34,https://www.instagram.com/p/B00e0lUBoDe/,2019-08-06,10:58:34
157,5,36,418095374,B00ev7nnAGQ,2019-08-06 10:57:56,https://www.instagram.com/p/B00ev7nnAGQ/,2019-08-06,10:57:56
158,2,0,4213686365,B00etc1hqKy,2019-08-06 10:57:36,https://www.instagram.com/p/B00etc1hqKy/,2019-08-06,10:57:36
159,0,34,1744364825,B00eWAFF1xY,2019-08-06 10:54:24,https://www.instagram.com/p/B00eWAFF1xY/,2019-08-06,10:54:24
160,3,38,3035199527,B00eUoMg34D,2019-08-06 10:54:12,https://www.instagram.com/p/B00eUoMg34D/,2019-08-06,10:54:12
161,1,21,426824906,B00ePovAbwg,2019-08-06 10:53:32,https://www.instagram.com/p/B00ePovAbwg/,2019-08-06,10:53:32
162,9,86,1265975240,B00eFFplhIk,2019-08-06 10:52:05,https://www.instagram.com/p/B00eFFplhIk/,2019-08-06,10:52:05
163,0,40,1477711557,B00dv5ihd1D,2019-08-06 10:49:12,https://www.instagram.com/p/B00dv5ihd1D/,2019-08-06,10:49:12
164,2,39,1221603014,B00doDIAWRX,2019-08-06 10:48:07,https://www.instagram.com/p/B00doDIAWRX/,2019-08-06,10:48:07
165,0,33,41163994,B00dchGDN--,2019-08-06 10:46:33,https://www.instagram.com/p/B00dchGDN--/,2019-08-06,10:46:33
166,0,5,9652938234,B00dQDrhwNO,2019-08-06 10:44:51,https://www.instagram.com/p/B00dQDrhwNO/,2019-08-06,10:44:51
167,0,25,1625825748,B00dMUtALN_,2019-08-06 10:44:20,https://www.instagram.com/p/B00dMUtALN_/,2019-08-06,10:44:20
168,1,34,509314866,B00dLQmlhlh,2019-08-06 10:44:11,https://www.instagram.com/p/B00dLQmlhlh/,2019-08-06,10:44:11
169,0,22,4228250722,B00dEbShLrV,2019-08-06 10:43:15,https://www.instagram.com/p/B00dEbShLrV/,2019-08-06,10:43:15
170,0,42,3299680961,B00ctHNBmSD,2019-08-06 10:40:04,https://www.instagram.com/p/B00ctHNBmSD/,2019-08-06,10:40:04
171,4,57,195000421,B00cgo8n8Y9,2019-08-06 10:38:22,https://www.instagram.com/p/B00cgo8n8Y9/,2019-08-06,10:38:22
172,2,20,2138294033,B00cO84g8Ab,2019-08-06 10:35:57,https://www.instagram.com/p/B00cO84g8Ab/,2019-08-06,10:35:57
173,0,20,6049333286,B00cIGyjykW,2019-08-06 10:35:01,https://www.instagram.com/p/B00cIGyjykW/,2019-08-06,10:35:01
174,1,46,208689774,B00cCztHc4s,2019-08-06 10:34:18,https://www.instagram.com/p/B00cCztHc4s/,2019-08-06,10:34:18
175,2,36,1391941338,B00b5LjBQz0,2019-08-06 10:32:59,https://www.instagram.com/p/B00b5LjBQz0/,2019-08-06,10:32:59
176,0,8,712478940,B00byUdnTB0,2019-08-06 10:32:03,https://www.instagram.com/p/B00byUdnTB0/,2019-08-06,10:32:03
177,2,33,2152983182,B00boRDh19g,2019-08-06 10:30:40,https://www.instagram.com/p/B00boRDh19g/,2019-08-06,10:30:40
178,0,17,408532966,B00bd8WhlbJ,2019-08-06 10:29:16,https://www.instagram.com/p/B00bd8WhlbJ/,2019-08-06,10:29:16
179,0,43,1592402962,B00baH9hpDG,2019-08-06 10:28:45,https://www.instagram.com/p/B00baH9hpDG/,2019-08-06,10:28:45
180,0,41,4146746013,B00bKtQAJHd,2019-08-06 10:26:38,https://www.instagram.com/p/B00bKtQAJHd/,2019-08-06,10:26:38
181,0,64,209213029,B00bJ1eBq6M,2019-08-06 10:26:31,https://www.instagram.com/p/B00bJ1eBq6M/,2019-08-06,10:26:31
182,0,38,1446156698,B00a-NtH6L7,2019-08-06 10:24:56,https://www.instagram.com/p/B00a-NtH6L7/,2019-08-06,10:24:56
183,0,26,1015557030,B00a76PBef3,2019-08-06 10:24:37,https://www.instagram.com/p/B00a76PBef3/,2019-08-06,10:24:37
184,0,36,1093055255,B00aySwBRWT,2019-08-06 10:23:18,https://www.instagram.com/p/B00aySwBRWT/,2019-08-06,10:23:18
185,0,29,439865566,B00arLZBu15,2019-08-06 10:22:20,https://www.instagram.com/p/B00arLZBu15/,2019-08-06,10:22:20
186,0,33,2254671482,B00akqPHAhS,2019-08-06 10:21:27,https://www.instagram.com/p/B00akqPHAhS/,2019-08-06,10:21:27
187,0,25,262160918,B00ahfonyPK,2019-08-06 10:21:01,https://www.instagram.com/p/B00ahfonyPK/,2019-08-06,10:21:01
188,0,2,9392840556,B00ahIhB86W,2019-08-06 10:20:58,https://www.instagram.com/p/B00ahIhB86W/,2019-08-06,10:20:58
189,3,46,4108911323,B00ag2agtT4,2019-08-06 10:20:55,https://www.instagram.com/p/B00ag2agtT4/,2019-08-06,10:20:55
190,2,28,301679069,B00abHMhs3R,2019-08-06 10:20:08,https://www.instagram.com/p/B00abHMhs3R/,2019-08-06,10:20:08
191,0,31,53864421,B00aOyhpChd,2019-08-06 10:18:27,https://www.instagram.com/p/B00aOyhpChd/,2019-08-06,10:18:27
