,newstitle
345,"Kementerian PUPR Tarik Pinjaman Bank Dunia Rp1,9 Triliun"
346,"Terjerat Suap, Bupati Bekasi Dicopot dari Tim Kampanye Jokowi"
347,Proyek Meikarta Sempat Dibahas Komisi II Agar Patuh Aturan
348,Bos Lippo Billy Sindoro Ditahan KPK Terkait Suap Meikarta
349,Anak Usaha Lippo Siap Bantu KPK Usut Suap Proyek Meikarta
350,Jokowi Ingin Seluruh Provinsi Ramah untuk Kaum Difabel
351,"Terima Suap Sin$90 Ribu, Pejabat Bekasi Menyerahkan Diri"
352,"Hindari OTT, Menteri Basuki Minta Bawahan Bekerja Profesional"
353,DPRD Jawa Tengah Tolak Pembangunan Tol Bawen-Yogya
354,"Terjerat Suap Meikarta, Bupati Bekasi Punya Harta Rp73,4 M"
355,KPK Tahan Enam Tersangka Suap Proyek Meikarta Secara Terpisah
356,Golkar Nonaktifkan Bupati Bekasi yang Terjerat Suap Meikarta
357,"Bangun Kota Palu Baru, Pemerintah Siapkan Rp6 Triliun"
358,"OTT Suap Meikarta, KPK Sebut Satu Tersangka Sempat Lolos"
359,"Ditangkap KPK, Bupati Bekasi dan Bos Lippo Group Bungkam"
360,Kronologi KPK Ungkap Suap Perizinan Meikarta
361,KPK Sebut Tersangka Suap Meikarta Pakai Samaran Tina Toon
362,Lippo Group Siapkan Rp13 M untuk Loloskan Izin Meikarta
363,Bupati Bekasi dan Bos Lippo Group Tersangka Suap Meikarta
364,Lippo Suap Rp7 M Pejabat Bekasi untuk 774 Ha Proyek Meikarta
365,PUPR: Jalan Tol Layang Jakarta-Cikampek Rampung Maret 2019
366,Pemerintah Pangkas Syarat Bantuan Rumah Korban Gempa Lombok
367,Wiranto Bantah Tolak Relawan Asing di Sulawesi Tengah
368,KPK: OTT di Bekasi Terkait Izin Proyek Meikarta
369,Hajatan IMF-World Bank Pacu Roda Ekonomi Banyuwangi
370,OTT KPK di Kabupaten Bekasi terkait Izin Properti
371,"OTT di Kabupaten Bekasi, KPK Amankan 10 Orang"
372,PUPR: 13 Ruas Tol Baru Siap Beroperasi Sampai Akhir Tahun Ini
373,ESDM Sebut Pasokan Energi di Palu Belum 100 Persen Pulih
374,"Geledah Rumah Bupati Malang, KPK Sita Uang Sin$15 Ribu"
