,sentence,polarity,subjectivity,Sentiment_Type
114,Menteri PUPR menyebut Jakarta butuh tanggul untuk mencegah hal tersebut.,0.34,0.42000000000000004,Positive
115,"Awal 2019, Jalur Pantura Brebes-Tegal akan Diperbaiki",0.34,0.42000000000000004,Positive
116,"Dana APBN Terbatas, Pemerintah Minta Swasta Ikut Bangun Rumah Murah",0.34,0.42000000000000004,Positive
117,Swasta Minat Bangun Pembangkit Listrik Mikro Hidro di 3 Bendungan,0.34,0.42000000000000004,Positive
118,49 Bendungan Baru yang Dibangun Jokowi Ditargetkan Selesai di 2023,0.34,0.42000000000000004,Positive
119,Hingga saat ini sebanyak 40 proyek bendungan sudah masuk tahap tender.,0.34,0.42000000000000004,Positive
120,Pemerintah Optimistis 29 Bendungan Selesai Dibangun Hingga Akhir 2019,0.34,0.42000000000000004,Positive
121,Jakarta-Surabaya Akan Tersambung Tol di Akhir Tahun Ini,0.34,0.42000000000000004,Positive
122,Tersambungnya Jakarta-Surabaya dengan jalan tol menunggu penyelesaian 5 proyek tol.,0.34,0.42000000000000004,Positive
123,Jokowi Resmikan Tol Pejagan-Pemalang dan Pemalang-Batang,0.34,0.42000000000000004,Positive
124,"Tol Pejagan-Pemalang Diresmikan Hari Ini, Berikut Rincian Tarifnya",0.34,0.42000000000000004,Positive
125,Tarif tol akan memakai formula perhitungan yang baru.,0.34,0.42000000000000004,Positive
126,"Ada Bendungan Karet, Petani Indramayu Aman Bercocok Tanam saat Kemarau",0.34,0.42000000000000004,Positive
127,Tol Manado - Bitung Ditargetkan Beroperasi Penuh September 2019,0.34,0.42000000000000004,Positive
128,Kementerian PUPR Minta Jatah Wisma Atlet Kemayoran ke Setneg,0.34,0.42000000000000004,Positive
129,PUPR Siap Perbaiki 206 Ribu Rumah Tak Layak Huni Tahun Depan,0.34,0.42000000000000004,Positive
130,"Jembatan Suramadu Gratis, Pemerintah Kehilangan Pendapatan Rp 120 M",0.34,0.42000000000000004,Positive
131,"Tol Bakauheni-Terbanggi Besar Sudah 93 Persen, Diresmikan Bulan Depan",0.34,0.42000000000000004,Positive
132,BUMN Perkapalan dan PUPR Berminat Beli Ekskavator Amfibi Buatan Pindad,0.34,0.42000000000000004,Positive
133,Pindad sudah bisa memproduksi ekskavator amfibi.,0.34,0.42000000000000004,Positive
134,Melihat Kesiapan Pemerintah Menghadapi Ancaman Banjir di 44 Kota,0.34,0.42000000000000004,Positive
135,Kementerian PUPR Akan Resmikan 6 Bendungan Pada Akhir Tahun Ini,0.34,0.42000000000000004,Positive
136,Ada dua bendungan yang ditargetkan selesai pada tahun depan.,0.34,0.42000000000000004,Positive
137,PUPR Pertanyakan Konsep Naturalisasi Pencegahan Banjir di Jakarta,0.34,0.42000000000000004,Positive
138,PUPR Bangun 6.873 Unit Rumah Susun Mulai Tahun Depan,0.34,0.42000000000000004,Positive
139,Uni Eropa Tawarkan Alat Pengolah Reruntuhan Gedung Menjadi Beton ke RI,0.34,0.42000000000000004,Positive
140,Pemerintah Siapkan Anggaran Rp 190 Miliar Kembangkan Kawasan Suramadu,0.34,0.42000000000000004,Positive
141,PUPR Butuh Rp 202 Miliar untuk Sertifikasi Pekerja Konstruksi di 2019,0.34,0.42000000000000004,Positive
142,Pekerja Konstruksi RI Minim Punya Sertifikat dan Pendidikannya Rendah,0.34,0.42000000000000004,Positive
143,Hunian Sementara Korban Bencana Sulteng Siap Dipakai Mulai Desember,0.34,0.42000000000000004,Positive
144,Kementerian PUPR tengah membuat 1.200 hunian sementara bagi korban bencana Sulteng.,0.34,0.42000000000000004,Positive
145,PUPR Akan Bangun Kembali Jembatan Kuning Usai Diterjang Tsunami Palu,0.34,0.42000000000000004,Positive
146,Infrastruktur Dukung Pertumbuhan Ekonomi dan Peningkatan Daya Saing Nasional,0.34,0.42000000000000004,Positive
147,3 Lantai Terbawah Wisma Atlet Kemayoran Akan Disewakan untuk Warung,0.34,0.42000000000000004,Positive
148,Kementerian PUPR Targetkan BP Tapera Terbentuk Tahun Ini,0.34,0.42000000000000004,Positive
149,Pemerintah Bikin Satgas Khusus untuk Telusuri Pelanggaran Meikarta,0.34,0.42000000000000004,Positive
150,Kementerian PUPR menerjunkan Satgas khusus untuk menelusuri pelanggaran Meikarta.,0.34,0.42000000000000004,Positive
151,"PUPR Yakin Realisasi Program Sejuta Rumah Tahun Ini Capai 1,1 Juta",0.34,0.42000000000000004,Positive
152,"Asian Para Games Usai, Kapan Wisma Atlet Disewakan ke Umum?",0.34,0.42000000000000004,Positive
153,Rangkum 19 Oktober 2018: James Riady hingga Ahmad Dhani,0.34,0.42000000000000004,Positive
154,56 Ribu Barang Kementerian PUPR Tak Diketahui Keberadaannya,0.34,0.42000000000000004,Positive
155,3 Proyek Irigasi Strategis Ditarget Selesai Tahun Ini,0.34,0.42000000000000004,Positive
156,"PUPR Bangun TPA Rawa Kucing, Dapat Dikembangkan Jadi PLTSa",0.34,0.42000000000000004,Positive
157,Basuki: Pejabat PUPR di Kasus Suap Lippo Bukan dari Kementerian,0.34,0.42000000000000004,Positive
158,PUPR Berencana Utang ke Spanyol untuk Bangun Jembatan Rangka Baja,0.34,0.42000000000000004,Positive
159,Proyek Tol Layang Yogyakarta-Solo dan Bandara Soetta Akan Gunakan Baja,0.34,0.42000000000000004,Positive
160,"Menurut Kementerian PUPR, penggunaan baja lebih hemat dibandingkan dengan beton.",0.34,0.42000000000000004,Positive
161,PUPR Targetkan Pembangunan Jalur Pantai Selatan Jawa Selesai di 2021,0.34,0.42000000000000004,Positive
162,"Tata Ulang Kota Palu Pascagempa, PUPR Butuh Anggaran Rp 6 Triliun",0.34,0.42000000000000004,Positive
163,4 Ruas Tol Baru Sepanjang 109 Km Siap Diresmikan Bulan Ini,0.34,0.42000000000000004,Positive
164,"Pemerintah Getol Bangun Infrastruktur, Emiten Alat Berat Ini Untung",0.34,0.42000000000000004,Positive
