,date,media,newstitle
84,"[<div class=""article__date"">22/11/2018, 09:35 WIB</div>]",Kompascom,"Terkait Banjir Jakarta, Basuki Bantah Pernyataan Prabowo"
85,"[<div class=""article__date"">19/11/2018, 09:35 WIB</div>]",Kompascom,Kementerian PUPR Bangun Pipa Transmisi di Merauke
86,"[<div class=""article__date"">19/11/2018, 09:10 WIB</div>]",Kompascom,200 Regulasi Bangunan Gedung Dinilai Tak Efektif
87,"[<div class=""article__date"">18/11/2018, 21:04 WIB</div>]",Kompascom,Kementerian PUPR Tayangkan Dokumentasi “Sanitasi Untuk Negeri”
88,"[<div class=""article__date"">17/11/2018, 05:06 WIB</div>]",Kompascom,KPK Tahan Bupati Pakpak Bharat dan Kepala Dinas PUPR
89,"[<div class=""article__date"">15/11/2018, 14:22 WIB</div>]",Kompascom,KPK Tetapkan Bupati Pakpak Bharat dan Kepala Dinas PUPR sebagai Tersangka
90,"[<div class=""article__date"">13/11/2018, 13:02 WIB</div>]",Kompascom,Permen Rusun Dinilai Tidak Adil bagi Pemilik
92,"[<div class=""article__date"">13/11/2018, 11:33 WIB</div>]",Kompascom,116 Huntara Sulteng Siap Huni Desember 2018
93,"[<div class=""article__date"">13/11/2018, 10:02 WIB</div>]",Kompascom,Kejati Jabar Geledah Kantor PUPR Tasikmalaya Terkait Korupsi Proyek Jalan 
94,"[<div class=""article__date"">12/11/2018, 22:06 WIB</div>]",Kompascom,Tenaga Ahli Level Direksi Wajib Ikut Sertifikasi K3
96,"[<div class=""article__date"">12/11/2018, 13:49 WIB</div>]",Kompascom,"Edarkan Sabu, Honorer di Dinas PUPR Jombang Diringkus Polisi"
97,"[<div class=""article__date"">10/11/2018, 19:44 WIB</div>]",Kompascom,"Bagian dari KSPN Danau Toba, Akses ke Pulau Samosir Diperbaiki"
98,"[<div class=""article__date"">08/11/2018, 13:22 WIB</div>]",Kompascom,Kementerian PUPR Tayangkan Dokumentasi “Sanitasi Untuk Negeri” 
99,"[<div class=""article__date"">07/11/2018, 16:45 WIB</div>]",Kompascom,"Capai 80 Persen, Penataan Kampung Nelayan Tegalsari Selesai Tahun Ini"
