,media,Title,Desc,titledesc,sentiment
161,JakartaPost,Waskita Precast earmarks Rp 4t expansion outside Java,Precast concrete producer Waskita Beton Precast has allocated Rp 4 trillion (US$304.18 million) for ...,Waskita Precast earmarks Rp 4t for expansion outside Java Precast concrete producer Waskita Beton Precast has allocated Rp 4 trillion (US$304.18 million) for ...,"Sentiment(polarity=0.0, subjectivity=0.05)"
162,JakartaPost,Asset securitization infrastructure financing,"After a sluggish growth period, the asset securitization market in Indonesia may see new potential t...","Asset securitization for infrastructure financing After a sluggish growth period, the asset securitization market in Indonesia may see new potential t...","Sentiment(polarity=0.0, subjectivity=0.0)"
163,JakartaPost,Maybank Indonesia pessimistic over double digit credit growth 2017,Lender Maybank Indonesia is pessimistic over credit growth next year and has said the double digit g...,Maybank Indonesia pessimistic over double digit credit growth in 2017 Lender Maybank Indonesia is pessimistic over credit growth next year and has said the double digit g...,"Sentiment(polarity=0.0, subjectivity=0.0)"
164,JakartaPost,Islamic financing alternative funding infrastructure Maybank,Lender Maybank Indonesia has called on the Indonesian government to promote Islamic financing as an ...,Islamic financing alternative funding for infrastructure: Maybank Lender Maybank Indonesia has called on the Indonesian government to promote Islamic financing as an ...,"Sentiment(polarity=0.0, subjectivity=0.0)"
165,JakartaPost,Oblige gas traders build infrastructure lower prices Analysts,The government must oblige traders to build infrastructure to help reduce gas prices for industry am...,Oblige gas traders to build infrastructure to lower prices: Analysts The government must oblige traders to build infrastructure to help reduce gas prices for industry am...,"Sentiment(polarity=0.0, subjectivity=0.0)"
166,JakartaPost,Projects limbo after state budget cuts,The second round of state budget cuts may lead to delayed infrastructure projects and lower economic...,Projects in limbo after state budget cuts The second round of state budget cuts may lead to delayed infrastructure projects and lower economic...,"Sentiment(polarity=0.0, subjectivity=0.0)"
167,JakartaPost,Proportion financially illiterate Indonesians at 80% due infrastructure gap,"President Joko ""Jokowi"" Widodo has expressed his concern over the lack of infrastructure i...","Proportion of financially illiterate Indonesians at 80% due to infrastructure gap President Joko ""Jokowi"" Widodo has expressed his concern over the lack of infrastructure i...","Sentiment(polarity=-0.0625, subjectivity=0.1875)"
168,JakartaPost,Experts warn against relaxing KLB rules,The city administration’s policy of allowing developers to break floor area ratio (KLB) limits...,Experts warn against relaxing KLB rules The city administration’s policy of allowing developers to break floor area ratio (KLB) limits...,"Sentiment(polarity=0.0, subjectivity=0.0)"
169,JakartaPost,Accelerating sustainable infrastructure development,"Technological innovation must contribute to the development of new models of sustainable social, eco...","Accelerating sustainable infrastructure development Technological innovation must contribute to the development of new models of sustainable social, eco...","Sentiment(polarity=0.0, subjectivity=0.0)"
170,JakartaPost,Infrastructure boom For what and whom?,"The question is, if the focus of the government’s infrastructure development is on constructin...","Infrastructure boom: For what and for whom? The question is, if the focus of the government’s infrastructure development is on constructin...","Sentiment(polarity=0.0, subjectivity=0.0)"
171,JakartaPost,How REITs can jump start real estate infrastructure investment,REITs have become popular since starting in the US in the 1950s. They are now present in over 30 cou...,"How REITs can jump start real estate, infrastructure investment REITs have become popular since starting in the US in the 1950s. They are now present in over 30 cou...","Sentiment(polarity=0.2, subjectivity=0.30000000000000004)"
172,JakartaPost,Priority projects expedited,The government reiterated on Tuesday its commitment to accelerate the completion of major infrastruc...,Priority projects expedited The government reiterated on Tuesday its commitment to accelerate the completion of major infrastruc...,"Sentiment(polarity=0.0, subjectivity=0.0)"
