;sentence;polarity;Subjectivity;Sentiment_Type
218;Akibat Gempa dan Tsunami, 17 Ribu Rumah Rusak di Donggala;0.34;0.42000000000000004;Positive
219;Solusi Mengubah Sampah Menjadi Sumber Pendapatan Warga;0.34;0.42000000000000004;Positive
220;Solusi Mengubah Sampah Menjadi Sumber Pendapatan Warga;0.34;0.42000000000000004;Positive
221;Pengelolaan Limbah Komunal, Bebaskan Lingkungan dari Pencemar;0.34;0.42000000000000004;Positive
222;Kasus Suap Meikarta, KPK Panggil Sekda Jabar;0.34;0.42000000000000004;Positive
223;Jalan Tol Sragen-Ngawi Beroperasi, Tarif Dibanderol Rp55 Ribu;0.34;0.42000000000000004;Positive
224;Pemerintah Serap 150 ribu Ton Karet Petani Sumsel Untuk Aspal;0.34;0.42000000000000004;Positive
225;Kasus Suap Meikarta, KPK Panggil Dirut PT Star Pacific;0.34;0.42000000000000004;Positive
226;Jokowi Minta Pembangunan Landas Pacu Bandara Soetta Dikebut;0.34;0.42000000000000004;Positive
227;Jalur Puncak Bogor Dilebarkan demi Kurangi Kemacetan;0.34;0.42000000000000004;Positive
228;Rini Beri Sinyal Anak-anak Usaha BUMN Batal IPO Tahun Ini;0.34;0.42000000000000004;Positive
229;Jokowi Bakal Resmikan Tol Sragen-Ngawi Pekan Ini;0.34;0.42000000000000004;Positive
230;Sampah & Limbah Bisa Jadi Sumber Manfaat Masyarakat;0.34;0.42000000000000004;Positive
231;Pemerintah Serahkan Rusun Rp266 Miliar ke Pemda;0.34;0.42000000000000004;Positive
232;Harga Anjlok, Pemerintah Beli Karet Petani untuk Aspal Jalan;0.34;0.42000000000000004;Positive
233;KPK Lengkapi Berkas Perkara, Adik Zulhas Disidang di Lampung;0.34;0.42000000000000004;Positive
234;Anies Akan Manfaatkan Pulau Reklamasi untuk Kampung Nelayan;0.34;0.42000000000000004;Positive
235;Tol Jakarta-Surabaya Dioperasikan untuk Mudik Natal Gratis;0.34;0.42000000000000004;Positive
